stock_no,year,make,model,trim,body,price,mileage,engine,transmission,drivetrain,horsepower,torque,fuel_economy,exterior_color,interior_color,features,image_url
PAG001,2022,Honda,Civic,Sport,Sedan,24900,24500,2.0L 4-cylinder,CVT,FWD,158,138 lb-ft,7.1 L/100km,Crystal Black Pearl,Black cloth,"Honda Sensing Suite|Apple CarPlay|Android Auto|7"" Touchscreen Display|Lane Keep Assist|Adaptive Cruise Control|18"" Alloy Wheels|LED Headlights|Power Sunroof",https://picsum.photos/seed/PAG001/400/300
PAG002,2022,Toyota,Camry,SE,Sedan,27900,29000,2.5L 4-cylinder,8-speed automatic,FWD,203,184 lb-ft,7.1 L/100km,Celestial Silver Metallic,Black SofTex,"Toyota Safety Sense 2.5+|9"" Touchscreen|Wireless Charging|Sport-Tuned Suspension|18"" Black Alloy Wheels|Dual Exhaust|LED Headlights",https://picsum.photos/seed/PAG002/400/300
PAG003,2020,Toyota,Corolla,SE,Sedan,17900,52000,2.0L 4-cylinder,CVT (Dynamic Shift),FWD,169,151 lb-ft,6.8 L/100km,Blue Crush Metallic,Black fabric,"Toyota Safety Sense 2.0|8"" Touchscreen|Apple CarPlay|Android Auto|Blind Spot Monitor|Sport Mode|18"" Alloy Wheels|LED Headlights|Rear Spoiler",https://picsum.photos/seed/PAG003/400/300
PAG004,2020,Hyundai,Elantra,Preferred,Sedan,16450,51000,2.0L 4-cylinder,CVT,FWD,147,132 lb-ft,7.3 L/100km,Phantom Black,Black cloth,"8"" Touchscreen|Apple CarPlay|Android Auto|Forward Collision Avoidance|Lane Keep Assist|Heated Front Seats|Heated Steering Wheel|16"" Alloy Wheels",https://picsum.photos/seed/PAG004/400/300
PAG005,2019,Volkswagen,Jetta,Comfortline,Sedan,15990,68000,1.4L Turbo 4-cylinder,8-speed automatic,FWD,147,184 lb-ft,6.9 L/100km,Pure White,Titan Black,"VW Digital Cockpit|6.5"" Touchscreen|App-Connect|Blind Spot Monitor|Heated Front Seats|Heated Steering Wheel|LED Headlights|16"" Alloy Wheels",https://picsum.photos/seed/PAG005/400/300
PAG006,2021,Nissan,Altima,SV,Sedan,19850,42000,2.5L 4-cylinder,CVT,FWD,188,180 lb-ft,7.5 L/100km,Brilliant Silver Metallic,Charcoal cloth,"Nissan Safety Shield 360|8"" Touchscreen|Apple CarPlay|Android Auto|Blind Spot Warning|Intelligent Cruise Control|Heated Front Seats|17"" Alloy Wheels",https://picsum.photos/seed/PAG006/400/300
PAG007,2021,Tesla,Model 3,Standard Range Plus,Sedan,31500,38000,Single Electric Motor,Single-speed fixed,RWD,283,307 lb-ft,—,Pearl White Multi-Coat,Black vegan leather,"15"" Central Touchscreen|Autopilot|Over-the-Air Updates|Sentry Mode|Heated Front & Rear Seats|Panoramic Glass Roof|Wireless Phone Docking|18"" Aero Wheels",https://picsum.photos/seed/PAG007/400/300
PAG008,2022,BMW,330i,xDrive,Sedan,38500,26000,2.0L Turbo 4-cylinder,8-speed Steptronic,AWD,255,295 lb-ft,8.1 L/100km,Alpine White,Black Vernasca leather,"BMW iDrive 7|10.25"" Touchscreen|Wireless Apple CarPlay|Harman Kardon Surround Sound|Gesture Control|Wireless Charging|M Sport Suspension|18"" M Alloy Wheels",https://picsum.photos/seed/PAG008/400/300
PAG009,2022,Mercedes-Benz,C300,4MATIC,Sedan,41500,22000,2.0L Turbo 4-cyl + Mild Hybrid,9-speed 9G-TRONIC,AWD,255,295 lb-ft,8.3 L/100km,Obsidian Black Metallic,Black MB-Tex,"MBUX Infotainment|11.9"" Touchscreen|12.3"" Digital Cluster|Wireless CarPlay & Android Auto|Burmester 3D Surround Sound|Heated Front Seats|64-Color Ambient Lighting|18"" AMG Wheels",https://picsum.photos/seed/PAG009/400/300
PAG010,2019,Audi,A4,Premium Plus,Sedan,26500,58000,2.0L Turbo 4-cylinder,7-speed S tronic,AWD (quattro),248,273 lb-ft,8.1 L/100km,Ibis White,Black leather,"Audi MMI|10.1"" Touchscreen|Wireless Apple CarPlay|Bang & Olufsen 3D Sound|Virtual Cockpit Plus|Adaptive Cruise Control|Lane Departure Warning|Heated Front Seats|Sport Suspension|18"" Wheels",https://picsum.photos/seed/PAG010/400/300
PAG011,2023,Toyota,RAV4,XLE,SUV,34995,15800,2.5L 4-cylinder,8-speed automatic,AWD,203,184 lb-ft,8.0 L/100km,Magnetic Grey Metallic,Black SofTex,"Toyota Safety Sense 2.5+|8"" Touchscreen|Blind Spot Monitor|Rear Cross-Traffic Alert|Dual-Zone Climate Control|Power Liftgate|17"" Alloy Wheels",https://picsum.photos/seed/PAG011/400/300
PAG012,2023,Honda,CR-V,EX-L,SUV,36200,12000,1.5L Turbo 4-cylinder,CVT,AWD,190,179 lb-ft,7.7 L/100km,Platinum White Pearl,Black leather,"Honda Sensing Suite|9"" Touchscreen|Wireless Apple CarPlay|Wireless Android Auto|Wireless Charging|Bose 12-Speaker Audio|Power Tailgate|Heated Front & Rear Seats|18"" Alloy Wheels",https://picsum.photos/seed/PAG012/400/300
PAG013,2023,Hyundai,Tucson,Preferred,SUV,29900,18000,2.5L 4-cylinder,8-speed automatic,AWD,187,178 lb-ft,8.4 L/100km,Phantom Black,Black cloth,"Hyundai SmartSense|10.25"" Touchscreen|Apple CarPlay|Android Auto|Wireless Charging|Blind Spot Collision Avoidance|Heated Front Seats|Heated Steering Wheel|LED Headlights|17"" Alloy Wheels",https://picsum.photos/seed/PAG013/400/300
PAG014,2023,Mazda,CX-5,GX,SUV,31200,14500,2.5L 4-cylinder,6-speed SKYACTIV-Drive,AWD,187,186 lb-ft,8.2 L/100km,Soul Red Crystal Metallic,Black cloth,"Mazda Connect|10.25"" Display|Apple CarPlay|Android Auto|i-Activsense Safety Suite|Smart Brake Support|Blind Spot Monitoring|Heated Front Seats|17"" Alloy Wheels",https://picsum.photos/seed/PAG014/400/300
PAG015,2022,Chevrolet,Equinox,LT,SUV,25800,31000,1.5L Turbo 4-cylinder,6-speed automatic,FWD,170,203 lb-ft,8.2 L/100km,Iron Grey Metallic,Jet Black cloth,"Infotainment 3|7"" Touchscreen|Apple CarPlay|Android Auto|Teen Driver Technology|Keyless Open|Heated Front Seats|17"" Alloy Wheels",https://picsum.photos/seed/PAG015/400/300
PAG016,2021,Land Rover,Range Rover Evoque,S,SUV,42900,35000,2.0L Turbo 4-cylinder,9-speed automatic,AWD,246,269 lb-ft,9.8 L/100km,Eiger Grey,Ebony grained leather,"Pivi Pro Infotainment|10"" Touchscreen|Meridian Sound System|Terrain Response 2|ClearSight Rear View Mirror|3D Surround Camera|Heated Front Seats|20"" Alloy Wheels",https://picsum.photos/seed/PAG016/400/300
PAG017,2021,Ford,Mustang,GT,Coupe,35950,32000,5.0L V8,10-speed automatic,RWD,460,420 lb-ft,12.4 L/100km,Oxford White,Ebony leather,"SYNC 3 Infotainment|8"" Touchscreen|Brembo Performance Brakes|Limited-Slip Differential|Launch Control|Selectable Drive Modes|Dual Exhaust System|Rear Spoiler",https://picsum.photos/seed/PAG017/400/300
PAG018,2022,Dodge,Challenger,RT,Coupe,39900,21000,5.7L HEMI V8,8-speed automatic,RWD,375,410 lb-ft,13.1 L/100km,Go Mango,Black Nappa leather,"Uconnect 4C|8.4"" Touchscreen|Performance Suspension|Brembo Brakes|Launch Assist|Line Lock|20"" Satin Carbon Wheels",https://picsum.photos/seed/PAG018/400/300
PAG019,2020,Chevrolet,Camaro,LT,Coupe,28750,29000,3.6L V6,8-speed automatic,RWD,335,284 lb-ft,10.7 L/100km,Riverside Blue Metallic,Jet Black cloth,"Infotainment 3|7"" Touchscreen|Apple CarPlay|Android Auto|Brembo Front Brakes|Limited-Slip Differential|Sport-Tuned Suspension|18"" Wheels",https://picsum.photos/seed/PAG019/400/300
PAG020,2021,Ford,F-150,XLT,Truck,38750,45000,2.7L EcoBoost V6 Twin-Turbo,10-speed automatic,4WD,325,400 lb-ft,11.8 L/100km,Iconic Silver Metallic,Medium Earth Grey cloth,"SYNC 4|12"" Touchscreen|Ford Co-Pilot360|Pro Power Onboard 2.4kW|Trailer Tow Package|Tailgate Step|Spray-In Bedliner|18"" Chrome Wheels",https://picsum.photos/seed/PAG020/400/300
